"Name","Errors"
"Manicuría Zentidos La Tahona","Required fields are missing: [Business_Branch__c, Display_Name__c]"
"Pedicuría Zentidos La Tahona","Required fields are missing: [Business_Branch__c, Display_Name__c]"
"Manos y Pies Zentidos La Tahona","Required fields are missing: [Business_Branch__c, Display_Name__c]"
"Cejas Y Pestañas Zentidos La Tahona","Required fields are missing: [Business_Branch__c, Display_Name__c]"
"Presoterapia Zentidos La Tahona","Required fields are missing: [Business_Branch__c, Display_Name__c]"
"Manos Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, Display_Name__c]"
"Pies Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, Display_Name__c]"
"Cejas y Pestañas Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, Display_Name__c]"
"Presoterapia Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, Display_Name__c]"
